,발화문,final_label
71,그래. 내가 너한테라도 터놓으니까 속이 좀 편하다.,0
72,그래 그럴게. 너는 항상 내 편이니까.,0
73,그래. 내 얘기 들어줘서 고마워. 이야기 할게.,0
74,고마워. 다시 힘내서 열심히 할게.,0
75,그래. 너라도 들어주니까 진짜 다행이다.,0
76,그래. 지금처럼 들어줘서 고마워. 너 땜에 속이 좀 풀리는 거 같애.,0
77,그래. 꼭 좋은 곳으로 갔을 거라고 나도 믿고 있어. 고마워.,0
78,그래. 열심히 노력하면 다음에는 성공할 수 있을거야. 걱정해줘서 고마워.,0
79,배고파서 너무 짜증나!,1
80,"퇴근한 지 얼마나 됐다고, 회사에서 또 연락 왔어! 짜증나.",1
81,한시간이나 기다렸어.,1
82,그래야할 거 같아.,1
83,어! 안 치우고 다 그냥 그대로 있어.,1
84,다시 약속을 잡아야 되는데 그게 쉽지가 않아.,1
85,"아니, 평소에는 잘 지냈는데, 갑자기 헤어지자 그러더라고.",1
86,그래야겠다. 일단 산책부터 다녀올게.,1
87,친구한테 전화를 했는데 전화를 안 받아.,1
88,응. 진짜 책임감 없어.,1
89,아니. 엄청 행복하게 잘 지냈는데 이렇게 갑자기 헤어지자고 하네.,1
90,"아니, 내가 잘못해서 그런거야. 내가 실수 했거든.",1
91,응. 내 고등학교 친구야. 그런데 이렇게까지 더러울 줄은 몰랐어.,1
92,다음주 쯤 하려고.,1
93,해피가 어제 세상을 떠났어.,1
94,요즘 일이 너무 안 풀려가지고 몸에 힘이 안 들어가.,1
95,나는 잘하는 게 하나도 없나봐.,1
96,그래. 그래 안 해도 관리하는 분한테 얘긴 해놨어. 지금쯤은 깨끗하겠지.,1
97,아니. 연락을 안 받어. 오다가 무슨 일 생겼나? 근데 얘는 항상 이렇게 늦는데.,1
98,친구가 아직 안 왔어.,1
99,나 어떻게 살지? 망했어.,1
100,나 결국 헤어졌어.,1
101,"오늘까지 끝내 놓으래. 야간, 야근해야 될 것 같애.",1
102,시험에 떨어지니 입맛도 잃은 거 같애. 밥 생각은 없어.,1
103,물을 좀 마시고 진정을 해야겠어. 생각만 해도 너무 더러워.,1
104,"아, 우리 아빠가 또 다치셨어.",1
105,"이제 두 달 조금 넘었는데, 아직도 너무 슬퍼.",1
106,아니야. 우린 3년 동안 한 번도 싸운 적이 없었어. 아무래도 다른 사람이 생긴 거 같아.,1
107,응. 속 좀 진정 시키려면 물 좀 마셔야할 거 같아.,1
108,일요일인데도 회사에서 전화가 오노. 뭐 쉬지마란 얘기가.,1
109,나는 잘하는게 없나봐.,1
110,그러니까. 근데 내가 아는 친구가 병원에서 엄청나게 아팠다고 해서 걱정 돼.,1
111,감기 걸렸어도 열심히 했었는데 마음에 안들었나봐.,1
112,나 면접 또 떨어졌어.,1
113,다음 회사 갈 준비를 해야하는데 자꾸 떨어지니까 자신이 없어.,1
114,를 너무 안해. 더러워.,1
115,청소도 안 하고 성격 상 너무 지저분해서.,1
116,생명에 지장은 없으셔. 하지만 허리를 다치셔서 한동안 치료를 하셔야 될 거 같아.,1
117,"이번이 마지막 공채 시즌이었는데, 이제 어떡하지?",1
118,룸메이트와 자주 싸우게 돼. 어떡하지?,1
119,지금 거의 한시간 정도 기다린 거 같애.,1
120,배도 안 고파.,1
121,많이 놀랬지. 아직도 너무 생생해. 정말 무서웠어.,1
122,해피가 어제 세상을 떠났어.,1
123,다치지는 않았는데 내 친구가 좀 크게 다쳤어. 놀란 사람들도 너무 많았고.,1
124,"유기견 다큐멘터리 봤는데, 책임감 없는 사람들 정말 너무하더라!",1
125,나 결국 헤어졌어. 너 몰랐지?,1
126,내가 다른 회사를 준비할 수 있을까? 지금 또 떨어질까봐 무서워.,1
127,집에 가는 중이야.,1
128,나는 잘하는게 없나봐.,1
129,"얘기는 해봤지. 해보면 뭐해, 이렇게 만날 때마다 늦는걸.",1
130,룸메와 너무 자주 싸우게 돼.,1
131,아니 내일 할 예정이야.,1
132,"이야기 했는데, 술을 못 이기신대.",1
133,"몰라, 힘들어 죽겠어. 나만 일 시키는 거 같애.",1
134,고등학교 때 친구랑 만나기로 약속해서 약속장소에 나왔는데 친구가 아직 안왔어.,1
135,약속 시간을 어기는 거에 대해서 내가 말을 하지 않으니까 계속 약속 시간을 어기는 거 같아.,1
136,응. 따뜻한 물 마시면 좀 나아질 것 같아.,1
137,나 면접 또 떨어졌어.,1
138,진짜 무서웠어.,1
139,나한테만 그러니까 너무 힘들어!,1
140,어제 저녁에 정말 무서웠어!,1
141,부모님한테는 얘기 안했어. 얘기하면 걱정할까봐.,1
142,3년 전에 친구 소개로 만났어.,1
143,아! 청소 안 하는 거 말고는 뭐 딱히 문제는 없는데.,1
144,나 내일 약속 있는데 그대로 가도 될까?,1
145,룸메와 너무 자주 싸우게 돼.,1
146,나 괜히 매일 우울해.,1
147,기숙사 화장실 엉망진창이야. 가지 마.,1
148,"아직 모르는데, 말 몬하겠다.",1
149,나는 잘하는게 없나봐.,1
150,아니 병원에는 못 가봤어. 일이 너무 바빠서.,1
151,응. 그런 거 같아. 보통 아프면 버리는 거 같애.,1
152,또 술 마시고지. 지금은 입원해있어.,1
153,나 룸메랑 너무 자주 싸워.,1
154,진짜 무서웠어. 지진이 나 처음 겪어봤거든. 같이 있던 친구는 다쳤어.,1
155,다들 일을 떠미느라 바빠서 나랑 이야기하거나 그렇지 않아. 아 정말 그만두고 싶다.,1
156,안하고 쉬고 싶다.,1
157,응. 인제 가서 말하려고. 빨리 치워달라고 해야지.,1
158,회사 안에서 얘기를 털어 놓을 사람은 없어. 역시 가족이 최고인 것 같아.,1
159,연락도 되질 않아.,1
160,"이번 공채 마지막 면접이어가지고, 다른 회사 없어.",1
161,아무도 안 치워! 아 너무해!,1
162,엄청 놀랐지. 어떤 또라이새끼가 그렇게 했는지 진짜 이해가 안간다.,1
163,"응, 늦게 일어나서 지금 오고 있대.",1
164,청소를 너무 안해.,1
165,자주 그랬어.,1
166,집에 가고 있는 중이야.,1
167,"아, 진짜. 당장 때려치고 싶다!",1
168,"연락 했는데, 연락도 안 돼. 약속도 내가 먼저 잡은 게 아니고 그 친구가 먼저 잡은 거거든. 그래서 더 황당하고, 황당해 지금.",1
169,응. 아직도 그대로 있어. 누가 어젯밤에 술 먹고 아침에 토한 것 같어. 최악이지?,1
170,다들 슬퍼하고 계셔. 특히 엄마가. 해피 많이 예뻐했거든. 아직도 믿기지가 않아.,1
171,룸메와 너무 자주 싸우게 돼.,1
172,3년 동안 잘 만났었는데 헤어지게 됐어.,1
173,밥 아직 못 먹었어.,1
174,"아니, 연락이라도 됐으면 내가 이렇게 화가 안났지. 지금 연락도 안돼. 아까 한시간 전부터 계속 오는지 어딘지도 몰라, 지금.",1
175,사실 고등학교 동창인데. 하. 이 정도까지 지저분한 줄은 정말 몰랐었어.,1
176,실망하실까봐 말 못했어.,1
177,2만원밖에 없는데 이걸로 2주 버텨야 돼. 아 어떻게 하냐.,1
178,집에 가는 길이야. 대안으로 생각해뒀던 면접이 떨어져서 너무 가슴이 아파. 친구들은 하나 둘 씩 취업했는데 말이야.,1
179,괜히 우울해.,1
180,슬럼프인 것 같아.,1
181,나 룸메이트랑 진짜 자주 싸워. 아마 룸메이트를 그만 해야 될거 같애.,1
182,몰라. 나도 다니기 싫은데 어떡해.,1
183,"어, 가족끼리 간촐하게 했어.",1
184,"위로해줘서 고맙다, 친구야.",1
185,룸메하고 너무 자주 싸우게 돼!,1
186,우리 아빠 어제 또 다쳤어.,1
187,아 그 놈의 술때문이지. 어제도 취해서 들어오시다가 집 앞 계단에서 넘어지셔서 허리 다치셨어.,1
188,친구 발목을 다쳤어.,1
189,나 면접 떨어졌어.,1
190,친구 소개로 만났었어.,1
191,근데 아직 계약기간이 남았어. 너무 슬프다.,1
192,괜히 매일 우울한 기분이야.,1
193,그냥 가까운 산에 묻어줬어.,1
194,"하. 이게 마지막, 합격할줄 알았는데 또 떨어져버렸네. 이제 어디다가 하지?",1
195,모르겠어. 왜 이렇게 무기력한지. 나 어떡해야 되지?,1
196,안그래도 진지하게 고민중이야. 다시 한 번 말해보고 안고쳐지면 따로 살아야 할 것 같아.,1
197,운동을 해서 몸을 좀 피곤하게 해야할 거 같애. 잠도 잘 안오니까.,1
198,"일은 재미 있는데, 너무 많이 시켜. 너무 힘들어.",1
199,룸메와 너무 자주 싸우게 돼.,1
200,나 면접 또 떨어졌어.,1
201,일주일 내내 드시고 계셔.,1
202,"죽겠어. 한 시간 기다렸어, 한 시간.",1
203,아직 모르시지.,1
204,식당에서 밥 먹는데 지진이 나가지고 나는 괜찮은데 친구가 다쳤어.,1
205,잠깐 고쳐지는 듯 하다가 다시 돌아가더라고. 안 될 거 같아.,1
206,어제 진짜 무서웠어.,1
207,"어, 나는 괜찮은데 친구가 많이 다쳐서 그게 걱정이야. 나아지겠지?",1
208,내가 다른 곳을 또 준비할 수 있을까? 이제는 무서워. 아무것도 못할거같아.,1
209,그냥 이 일이 나랑 맞는지 모르겠어.,1
210,"아니, 말하면 뭐해. 듣질 않는데.",1
211,가족 회의 때마다 금주하기를 목표로 세우는데 일주일도 안가서 자꾸 술을 다시 마시셔. 나는 이제 포기했어.,1
212,아 연락을 안 받아. 아씨 그냥 가버릴까?,1
213,스트레스 때문에 허기가 안져.,1
214,친구가 소개시켜줘서 만났어. 여자친구가 먼저 나한테 고백했거든.,1
215,걔랑은 고등학교 동창 사이야. 쓰레기도 나 혼자 버리고. 뭐라고 해도 결국엔 똑같애. 그냥 생활 습관이 너무 다른가봐.,1
216,밥 먹을 생각이 전혀 없어.,1
217,산책 싫어. 귀찮아.,1
218,아니. 너무 잘 지냈지. 그 사람한테 여자가 생긴 것 같아.,1
219,나도 모르겠어. 아 진짜 그만두고 싶다.,1
220,오늘로 이를째야. 오늘 헤어졌어. 그런데 되게 오래된 거 같아.,1
221,나 결국 헤어졌어.,1
222,밥이 안 넘어가네. 입맛이 없어.,1
223,퇴근한지 얼마 됐다고 회사에서 또 연락이 왔어.,1
224,어제 의식을 잃어서 병원에 갔는데 그렇게 됐네.,1
225,해피가 어제 세상을 떠났어.,1
226,"으, 누가 화장실에 토하고 안 치웠어.",1
227,어제 해피가 세상을 떠났어.,1
228,회사에서 또 일하라는 전화가 왔다.,1
229,야근하고 집에 왔는데 퇴근한지 얼마나 됐다고 또 회사에서 전화가 왔어.,1
230,화를 내봤는데 고치는듯 하더니 또 그러네.,1
231,아직 그대로 있을걸? 화장실이랑 세면대에다가 다 토해놨더라고.,1
232,나 식당에서 밥먹고 있는데 지진이 일어난거야.,1
233,"헤어진 지 한 한 달 정도 됐는데, 지금 너무 힘들다, 나 지금.",1
234,룸메랑 너무 자주 싸우게 돼.,1
235,자기 방도 청소를 안 해.,1
236,나 면접 또 떨어졌어.,1
237,윽. 화장이 왜 이래. 누가 토했어!,1
238,식당에 있던 사람들이 넘어지고 내 친구는 많이 다치진 않았지만 발목을 다쳤어.,1
239,다른회사 준비한 것도 다 떨어졌더라고. 이번 공채 마지막 면접인데 하.,1
240,아직 들어온지 얼마 안돼서 그건 좀 힘들 거 같애.,1
241,여러 번 이야기를 해봤는데 술을 끊는 게 너무 힘든가봐.,1
242,친구가 조금 다쳤어.,1
243,그렇다고 하더라.,1
244,그만두고 싶은 마음이야. 맨날 일 시켜. 퇴근도 못하고!,1
245,나 약속 있어서 친구 기다리고 있는데 아직도 안온다?,1
246,거의 매일같이 하지. 근데 잘 들어주시지는 않네.,1
247,장례는 무사히 잘 진행되었어.,1
248,응. 근데 마음이 너무 아파.,1
249,어떻게 말씀드려야 될지 모르겠어.,1
250,룸메이트가 방에 쓰레기를 막 버리고 방을 어지럽혀! 어지러워진 방을 청소를 하지 않아!,1
251,나도 병원에 가보긴 할건데 너도 앞으로 지진나면은 조심해.,1
252,나 오늘 헤어졌어.,1
253,그 누구 누가 화장실에다 토하고 안 치우고 가 버렸어.,1
254,내 제일 친한 친구였는데 너무 보고 싶어.,1
255,어 걱정해줘서 고마워. 너도 조심해.,1
256,점점 관계에 소홀해지긴 했는데 나도 이유를 잘 모르겠어.,1
257,우리는 근무 시간이 정해져 있어서 일찍 퇴근은 하지 못해.,1
258,모르겠어. 계속 일 시켜.,1
259,헤어지기 전에 남자친구가 권태기가 왔다고 잠깐 떨어져 있자고 했어. 그런데 새로운 여자친구가 생긴 거 같아.,1
260,일주일에 다섯 번은 드셔.,1
261,나는 잘하는 게 없나 봐.,1
262,나는 잘하는게 없나봐.,1
263,아니. 잘 싸우지도 않았어. 갑자기 왜 이러는지 나는 모르겠어.,1
264,술 마시고 넘어졌어. 지금은 병원에 있어.,1
265,어제 저녁에 진짜 무서웠어.,1
266,우리 아빠가 어제 또 다쳤어.,1
267,어제 저녁에 지진 났어!,1
268,"약속이 있어서 친구 기다리고 있는데, 아직 안 왔어.",1
269,어. 그래야겠어. 니가 좀 떠다줄래?,1
270,"일만 하다 보니까 털어놓을 사람도 없고, 힘들 때 얘기할게. 고마워.",1
271,이번이 마지막이길 바랬는데 또 준비해야지 뭐.,1
272,어. 오늘 중에 서류 다시 다 해야돼서.,1
273,괜찮긴 한데 또 술먹고 넘어졌다고.,1
274,오늘 헤어졌어.,1
275,원래 고등학교 때부터 친구였어 .근데 그 때는 이정도 일줄은 몰랐어.,1
276,될 거 같애. 아무래도 좀 움직이면은 그런 생각이 좀 덜 하지 않을까?,1
277,요즘 신종 코로나 바이러스가 유행이잖아. 그거 때문에 너무 걱정이야.,1
278,"어제 바로 진행하고 집에 있으면 너무 해피가 생각나서 밖에 나왔는데, 너무 슬프다.",1
279,"우리 아빠, 어제 또 다쳤다.",1
280,"아, 그것도 어려울 거 같은데. 진짜 병 걸려 오는 거 아니겠지?",1
281,"아, 말해도 안 들어. 맨날 똑같아 진짜. 아, 짜증나.",1
282,퇴근한지 얼마나 됐다고 회사에서 또 연락왔어.,1
283,연락 해도 연락을 안 받어.,1
284,병원에 입원했어.,1
285,도착하자마자 연락을 해봤지! 하지만 전화를 안 받아!,1
286,응. 거의 10분마다 하고 있는데 한 번도 안 받았어.,1
287,그리안해도 연락해봤는데 연락도 받지 않네.,1
288,응. 좀 중요한 약속이라. 괜찮을 거야.,1
289,"아니 갑자기 아프게 된 건 아니고. 어제 갑자기 머리가 아프다고 찡찡대더니, 갑자기 세상을 떠나버린 거야.",1
290,다른 회사들 다시 준비해보려고. 그런데 정말 내가 필요 없는 걸까?,1
291,뻔하지. 또 술마시고 넘어졌어.,1
292,응. 해피한테 해줘야지.,1
293,지진 났잖아. 넌 못 느꼈어?,1
294,불안해서 그런 거 같애. 바쁘기도 하고.,1
295,그 애가 너무 더러워. 청소를 아예 안해.,1
296,나 결국 헤어졌어.,1
297,그러게. 다른 사람이 생긴 거 같아.,1
298,"아, 지금은 잘 모르겠어. 보자마자 바로 나와버렸거든.",1
299,술 먹고 집 오다가 계단에서 굴렀대.,1
300,"해도, 고쳐지지도 않아. 나도 한참 참았어.",1
301,말하면 그냥 또 싸우게 돼.,1
302,"자신 있는 거였는데, 마음에 안드시나봐. 다시 해오래.",1
303,아 친구랑 만나기로 했는데 또 늦게 왔어.,1
304,평소에 싸운 적이 한 번도 없었고 마음이 너무 잘 맞아서 남자친구가 헤어지자고 했을 때 너무 황당했어.,1
305,고등학생 때부터 친구였어.,1
306,우리 아빠가 어제 또 다쳤어!,1
307,다시 가볼 수가 없어. 그대로 있겠지.,1
308,자주 하지. 그런데 잘 고쳐지지가 않아.,1
309,맞아. 언제부턴가 마음에 안맞았어.,1
310,"으, 화장실에 누가 토하고 안치워놨어.",1
311,말도 못하고 있어.,1
312,우리 아빠가 어제 또 다치셨어.,1
313,아직 한 번도 안 했는데 오늘 진지하게 얘기해보려고.,1
314,지금은 좀 괜찮아.,1
315,나 결국 헤어졌어.,1
316,3년 동안 한번도 안싸우다가 갑자기 권태기가 왔다고 하더니 딴 남자가 생겼어.,1
317,화 내봤지. 많이.,1
318,너무 힘들어.,1
319,어제 저녁에 진짜 무서웠어!,1
320,그 정도까진 아니고 살짝 다쳤어.,1
321,아니. 털어놓을 사람은 없어.,1
322,유기견 다큐멘터리를 봤는데 책임감 없는 사람들 정말 너무하더라.,1
323,퇴근한지 얼마나 됐다고 회사에서 연락 또 왔어.,1
324,한달전에 얘기해봤는데 그 때는 잘 지키더니 그 때 뿐이야.,1
325,"그랬으면 좋겠어. 걱정해줘서 고마워, 친구야.",1
326,"술을 너무 좋아하셔서 일주일에 다섯 번은 기본이시고, 어떤 주는 매일매일 술을 드셔.",1
327,내가 그래도 너한테라도 얘기하니까 속이 시원하다.,1
328,나 어떻게 살지? 망했어.,1
329,하지만 나는 청소 문제만 아니면 다른 거는 다 좋거든. 그래서 같이 살고 싶어.,1
330,많이 놀라기도 하고 속이 울렁거렸어.,1
331,그래야 되겠다. 고마워.,1
332,"청소 때문에 그런데, 너무 지저분해. 그래서 나만 청소하게 되는 거야.",1
333,계속 말도 안되는 상황이 생기고 그래서 이직을 고려 중이야.,1
334,얘기 했었는데 또 다쳤잖아!,1
335,"응. 나는 다친 데 없어서 괜찮고, 나랑 같이 간 친구는 발목 다쳤어.",1
336,생명에 지장은 없으신데 허리때문에 치료를 받아야해서 당분간 병원에 계셔야 해.,1
337,털어놓을 사람도 없어. 답답해.,1
338,저번에도 늦어서 내가 한마디 했는데 또 안 고쳐지고 똑같은 실수를 반복하네? 자꾸 이러면 나도 이친구 만나기 힘들어.,1
339,그래야 되는데 주변에서 다 취업하고 부모님한테도 너무 죄송해서 얘기를 못하겠어.,1
340,"유기견 다큐멘터리 봤는데, 사람들 정말 너무하더라.",1
341,한 시간 기다리고 있어.,1
342,안 그래도 고민중이야.,1
343,요새 하고 있는 일이 잘 안풀려.,1
344,나는 잘하는게 없나봐.,1
345,이제 두 달 됐어.,1
346,따뜻한 물 마시는 게 좋겠네.,1
347,나 면접 또 떨어졌어.,1
348,응. 한 시간 째 전화를 안 받아.,1
349,"지금 집 가는 길인데, 부모님 뵙기 너무 죄송스럽다.",1
350,나는 잘하는게 없나봐.,1
351,어. 며칠 전부터 시름시름 앓다가 죽었어.,1
352,응. 너무 자주 먹지. 일주일에 5일은 거의 먹어.,1
353,누가 화장실에 토하고 안 치웠어.,1
354,걔가 방을 너무 더럽게 써.,1
355,요즘 일도 너무 많고 스트레칭도 안해서 더 그런 거 같아.,1
356,"다시 준비해야되기 때문에 시간이 없어, 쉴 시간이 없어.",1
357,물도 못 마시겠어.,1
358,일이 너무 많아서 정밀검사까진 힘들어.,1
359,다른 층을 쓰고있지만 너무 불편해.,1
360,오늘 헤어졌어.,1
361,다들 힘들어 하시는 거 같애.,1
362,대학교 다니면서 사귀었던 친구였지.,1
363,윽 누가 화장실에 토하고 안치웠어.,1
364,장례는 지냈어. 해피가 그곳에서는 조금 더 행복했음 좋겠다.,1
365,자주 그러는 건 아닌데 가끔가다 그래서 너무 열받어.,1
366,많이 다치진 않으셨어.,1
367,어. 그래야지. 아. 생각하면 너무 무서워.,1
368,지금 당장 생활비가 한푼도 없어.,1
369,얘기해도 한 번 뿐이지. 다음에 또 그래.,1
370,한 달 전에 화 내고 좀 괜찮아지나 싶더니 또 그러네.,1
371,어. 놀란 거 빼고는 몸은 안 다쳤어.,1
372,어. 불편해할까봐 좋게 얘기했어. 그런데 똑같애.,1
373,잘못된 기획안을 다시 완성하려면 야근해야 할 거 같아.,1
374,아 요새 너무 안좋네.,1
375,두 달 정도 됐어. 잊혀질 줄 알았는데 힘드네.,1
376,한시간째 기다리고 있어.,1
377,퇴근한지 얼마나 됐다고 회사에서 또 전화가 왔어.,1
378,기다리고 있다니까?,1
379,이따가 가보려고.,1
380,룸메와 너무 자주 싸우게 돼.,1
381,응. 장례는 잘 진행했어. 근데 너무 보고싶다.,1
382,어제 저녁에 진짜 무서웠어.,1
383,얘기 들어줘서 고마워.,1
384,계단에서 넘어지신 거라 괜찮으실 거야.,1
385,고등학교 때 알던 친구인데 이렇게 방을 지저분하게 쓸줄 몰랐어.,1
386,"매일 드셔서 속상하다, 나도.",1
387,어제 저녁에 정말 무서웠어!,1
388,어렵게 들어간 회사라 이직을 생각하는 것도 쉽지 않아.,1
389,"아직 말씀 못드렸어. 또 걱정하실거 뻔한데, 뭐.",1
390,응. 최선을 다하지만 정부에서 안 도와줘서 문제지.,1
391,"강남인데, 전염병 확진자가 있대.",1
392,해피를 보고 싶어 해. 너무 그리워 해.,1
393,권태기래. 나 이제 어떡하지?,1
394,우리 아빠가 어제 또 다쳤어.,1
395,나 어떻게 살지? 망했어.,1
396,오늘까지 기획안을 다시 완성해야 해서 퇴근 못 해. 야근 해야 해.,1
397,아오. 화장실 가지 마라. 누가 토해놨다이.,1
398,응. 물 좀 마셔야겠어.,1
399,말하기가 무서워. 하지만 말해야겠지?,1
400,오늘 다시 진지하게 얘기해봐야겠어. 더 이상 못 참겠어.,1
401,고등학교 동창으로 만났어. 그 때는 이렇게까지 지저분한 아이는 아니었거든.,1
402,나 남자친구랑 헤어졌어.,1
403,나 결국 헤어졌어.,1
404,생명에는 지장 없으신데 병원에서 허리 치료를 받고 몇 달간 집에 누워계셔야 한대.,1
405,누가 화장실에 토를 하고 안치웠어.,1
406,그냥 뭐 다른남자가 좋단다.,1
407,나한테만 계속 일을 너무 많이 주니까 회사 다니기가 싫어.,1
408,응. 그래봐야지. 해피도 오래 살긴 했어.,1
409,취미 시간을 좀 가져 보는 것도 괜찮은 생각 같아. 뭘 좀 해야되겠어.,1
410,친구랑 저녁 약속 있어서 기다리고 있는데 친구가 아직도 안와.,1
411,퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어.,1
412,어떻게 살지. 완전 망했어.,1
413,응. 잘하는게 없나봐.,1
414,이런 일은 자주 있는 건 아닌데 오늘따라 너무 늦네.,1
415,화장실 세면대랑 바닥에 토가 그대로 있어. 너무 더러워.,1
416,같이 밥먹던 친구 발목 삐었어. 그래서 오늘 병원가야 될 거 같애.,1
417,내가 짜증을 너무 많이 냈던 거 같애.,1
418,2년만 채우고 퇴직금 받고 때려칠거야.,1
419,소개팅으로 만났었어.,1
420,어. 밖에 한 번 나가보고 싶다. 근데 눈치 보여.,1
421,술 드시고 계단을 오르다가 넘어지셨어. 그래서 허리를 다쳐서 병원에 입원하셨어!,1
422,"돈 주니까 참는데, 이건 아닌 거 같애.",1
423,"놀란 거보다, 너무 더러워.",1
424,친구가 싫어하지 않을까?,1
425,청소를 안해. 지저분하기는 엄청 지저분하면서.,1
426,3년 동안 사귄 남자친구랑 결국 헤어졌어.,1
427,우리아빠 또 다쳤어.,1
428,어제 저녁에 지진 났는데 너도 느꼈어?,1
429,해피가 세상을 떠났어.,1
430,매일 드시지. 속상한 정도가 아니야. 정말 짜증이 나.,1
431,여기가 마지막 회사였어.,1
432,나 결국 헤어졌어.,1
433,응. 조금이라도 안 좋은 데 있으면 바로 병원에 가서 검사해볼게.,1
434,응. 치워달라고 말씀 드려야겠어.,1
435,밤새서 기획안 준비했는데 처음부터 다시 하래.,1
436,"놀란 거 보다, 짜증이 나.",1
437,나 면접 또 떨어졌어.,1
438,나는 잘하는 게 없나봐.,1
439,입원해 있어. 이번에도 술 먹고 넘어지셔서 그런거야.,1
440,어떻게 해야될 지 모르겠어.,1
441,아니. 난 지금 괜찮지 않아. 너무 놀랬거든.,1
442,"응. 내가 진짜 제대로 화낸 적이 있었거든. 그 때 좀 치우나 싶었는데, 아니야. 다시 돌아왔어.",1
443,응. 근데 다시 해야 돼.,1
444,나는 열심히 노력했는데 기획안이 잘못됐다는 이야기를 들으니까 모든 것이 나의 잘못같아.,1
445,나 면접 또 떨어졌어.,1
446,응. 지금 따뜻한 물 마시려고. 근데 저건 누가 치우지?,1
447,그래. 나도 다시 열심히 해서 인정 받도록 할게. 위로해줘서 고마워.,1
448,바이러스 때문에 너무 걱정돼.,1
449,"알겠어. 에휴, 그래도 별 일 없겠지?",1
450,지금 진정할 때가 아니야. 범인을 잡아야 되겠어.,1
451,아니. 싸운 적은 없는데 새로 만나는 사람이 있는 것 같아.,1
452,너무 답답하네.,1
